City,State,2009,2010,2011,2012,2013,2014,2015,2016,2017
Archer Lodge--Clayton, NC,55224779.02,62070142.31,67529444.37,68617910.26,72153510.94,75082482.8,75051475.1,70917710.87,60409408.81
Arcola, IL,64609298.23,73564784.49,73586945.23,72809560.98,73272810.82,70947152.53,67042644.28,60060303.67,50835925.64
Ardmore, OK,224480092.8,229642281.4,231643265.3,243032350.7,247460733.6,259511332.5,264220576.2,271418324.9,261075020.1
Arecibo, PR,0,0,0,0,0,0,0,0,0
Arizona City, AZ,57354282.8,64021116.19,69308429.66,69951814.5,67590573.64,63752897.95,57750869.62,51322415.18,43762009.65
Arkadelphia, AR,134455848.5,144545372.8,154887441.9,159216923.2,166027999.8,165766524.7,164686116.2,164402755.2,165339414.4
Arkansas City, KS,36655707.63,37837440.49,38296628.37,39247610.7,39975748.46,39528224.91,38343534.95,37501348.61,34391680.83
Arlington, TN,345058884.5,338539597.5,325949786.9,321447904.9,328464384,329596016.5,335122483.1,344483920.5,352767916.9
Arroyo Grande--Grover Beach, CA,367045598.9,372017854.7,396133707.3,415550650.3,426968686.2,446487496.2,445918322.4,438905967.2,410381790.6
Artesia, NM,108833872.7,114854247.7,108426644.8,100579826.4,95741125.07,97455487.87,101662377.7,116096425.5,142696574.5
Arvin, CA,187626610.1,199006170,217360402.2,227885120.1,230500478,233210621.9,219583785.4,196538738.9,159563790.2
Ashburn, GA,208789122.7,208168863.7,182253871.8,165495628.9,170858594.2,170137339.4,165627159.5,150051312.4,127887551.6
Ashdown, AR,24788675.21,26285377.76,24389609.11,21617363.94,19814524.37,18404204.02,17282646.3,16521168.95,16057853.67
Asheboro, NC,356315995.9,366273927,363676913.4,357002037.5,365477958,381238562.6,400633999.4,422123156.8,432248281.2
Asheville, NC,2235714537,2117737369,1981587262,1907495254,1919438899,1985927793,2119332993,2363138332,2658735862
Ashland, MO,47855032.12,51227889.48,51474689.78,50154342.67,49753923.39,49089697.38,48157985.59,46377336.76,42323920.58
Ashland, NE,75733969.63,80417475.11,81959607.28,82905869.79,83789724.74,82425161.28,78723448.81,74125594.96,63422723.68
Ashland, OH,196792826,199506988.5,201790626.5,209394463.5,211039365.6,218926282.9,215567395.3,210849675.7,192177249
Ashland, PA,148293440.3,155296965.5,163438759.1,178291670.9,190029392.9,194524941.4,188192307.7,172511388,145152813.9
Ashland, WI,38076020.31,40611964.53,39527905.2,38168413.64,35843873.21,34059190.91,31557999.73,29420315.03,25930389.21
Ashland City, TN,60007054.3,63309635.47,43407500.95,33797605.74,30938293.87,28975568.91,27303696.81,26158001.74,27811751.13
Ashtabula, OH,189568855.6,200371654.7,211137161.3,221742150.5,222334740.1,227296503.4,218515126.1,208465340.7,184838375.2
Ashville, OH,29543515.49,31167247.03,32983455.55,35370784.19,36269932.65,37288820.93,35589713.52,33233161.23,28407101.07
Aspen, CO,13689439.9,14535873.24,15122776.92,15522679.67,15572394.6,15031098.15,13915186.9,12678758.62,10612772.53
Astoria, OR,49538525.87,48207292.43,48462577.74,55177069.08,63365275.17,71031776.48,77466454.8,82485581.7,77808295.93
Atchison, KS,34173934.63,34198997.82,32760155.36,31900783.08,31523076.54,30844885.47,29993031.65,29303578.19,26851562.89
Athens, AL,334913018.5,347650093.6,355719201.6,368201637.7,408855725.6,413940882,437283710.2,458533705.3,495043531.2
Athens, OH,170801877.5,174823135.2,171475248.6,169259940,163914938.9,168484527.8,167861543.1,173075052.9,175378010.5
Athens, TN,83904496.75,84677689.26,82995911.59,84352080.35,88955423.2,90707173.19,92069625.92,91009866.63,86082072.7
Athens, TX,271047203,272923727.3,274950284.4,287088640.4,296168559.5,299006486.2,286886511.8,265563226.5,226715595.4
Athens-Clarke County, GA,660333684.1,695139004.3,726149933.5,741983122.2,768435069.7,767777215.8,765034154.6,751215769,731395163.4
Athol, MA,49166638.75,52575345.26,54023409.8,55833972.71,58522608.5,57850081.95,57447794.08,55548499.46,49327390.04
Atlanta, GA,22399323715,22710553677,22549799274,22446840238,23298546925,23832185121,24932803175,26447858518,28695599061
Atlanta, TX,89026466.24,86070670.58,85016308.77,88816600.18,91937668.01,92406794.82,87883360.52,79804021.86,66516301.22
Atlantic, IA,132535113.5,139583291.5,143117706.2,144214786.1,146702712.9,145808099,142315596.5,136097142.6,125960191.9
Atlantic City, NJ,1581825069,1644737812,1662080079,1667074992,1679898290,1632899254,1590461846,1554532196,1448774509
Atmore, AL,25025464.61,26651567.36,27429646.5,28168138.51,30748169.37,30279533.13,30589725.94,29845398.95,28728342.88
Atoka, TN,72345340.4,77236094.51,79013898.37,82605380.87,87491647.48,88696415.43,88447972.76,85405458.15,78497504.56
Attica, IN,46772680.14,53686964.97,42451491.43,24453794.71,16093860.66,13153533.97,11508386.41,10469312.38,9459833.508
Attica, NY,37661341.03,35650156.15,34166868.9,32818315.97,31520306.29,29507443.28,27502487.72,25834730.31,22481632.36
Au Sable, MI,36008805.37,36355766.12,36706004.73,39272278.66,42264641.87,42966911.51,42512451.29,40701179.96,37052082.66
