City,Area,population2010,population2011,population2012,population2013,population2014,population2015,population2016,population2017,personpersqmile2010,personpersqmile2011,personpersqmile2012,personpersqmile2013,personpersqmile2014,personpersqmile2015,personpersqmile2016,personpersqmile2017,emissionperperson2010,emissionperperson2011,emissionperperson2012,emissionperperson2013,emissionperperson2014,emissionperperson2015,emissionperperson2016,emissionperperson2017,cleanEPP2010,cleanEPP2011,cleanEPP2012,cleanEPP2013,cleanEPP2014,cleanEPP2015,cleanEPP2016,cleanEPP2017
Long Beach,50,462257,464512,466873,468000,469109,470128,468719,466646,9245,9290,9337,9360,9382,9403,9374,9333,5252.279316,4839.645626,4564.204175,4389.139103,4634.861608,4932.188076,5509.422166,6063.595681,5252,4840,4564,4389,4635,4932,5509,6064
Virginia Beach,245,437994,442583,445044,447706,448864,450304,450983,449896,1788,1806,1817,1827,1832,1838,1841,1836,4249.08899,3963.063297,3810.34697,3649.961376,3517.617973,3453.193771,3511.574117,3567.437503,4249,3963,3810,3650,3518,3453,3512,3567
Oakland,56,390724,396086,401104,406648,412901,418211,420947,424382,6977,7073,7163,7262,7373,7468,7517,7578,4949.873873,5566.182218,5923.780994,5999.425434,5898.830264,5521.76695,5223.655056,4763.742942,4950,5566,5924,5999,5899,5522,5224,4764
Minneapolis,54,382578,388052,392768,400070,407067,411030,415079,420925,7085,7186,7273,7409,7538,7612,7687,7795,4553.017332,4351.67426,4221.907001,4083.636326,4085.909636,4259.00943,4767.429246,5353.492829,4553,4352,4222,4084,4086,4259,4767,5353
Tulsa,197,391906,393005,394643,398401,399892,403491,404007,402060,1989,1995,2003,2022,2030,2048,2051,2041,7220.126528,7213.436272,7244.890767,7088.830932,7500.55374,7931.836152,8909.453183,9685.727394,7220,7213,7245,7089,7501,7932,8909,9686
Tampa,113,335709,342589,348090,355172,362664,371464,380344,391026,2971,3032,3080,3143,3209,3287,3366,3460,6429.023273,5933.561565,5792.355988,5698.94133,5890.986081,6137.927764,6603.632635,7151.069747,6429,5934,5792,5699,5891,6138,6604,7151
Arlington,96,365438,370253,375629,378950,382721,388728,394384,397173,3807,3857,3913,3947,3987,4049,4108,4137,4405.129332,4255.079243,4211.243847,4226.060554,4421.426423,4595.522072,4936.575804,5268.136855,4405,4255,4211,4226,4421,4596,4937,5268
New Orleans,169,343829,360735,369787,378637,383940,389742,391843,391493,2034,2135,2188,2240,2272,2306,2319,2317,5015.6226,4603.921641,4192.269479,4111.218463,3993.4025,4025.513104,4211.829679,4514.464721,5016,4604,4192,4111,3993,4026,4212,4514
Wichita,160,382368,383773,385751,387210,388416,389412,390519,390277,2390,2399,2411,2420,2428,2434,2441,2439,4701.121632,4757.361042,4643.932161,4591.32087,4595.008424,4693.334579,5065.031778,5287.019648,4701,4757,4644,4591,4595,4693,5065,5287
Bakersfield,149,347483,353221,357312,362834,366954,371348,374699,377940,2332,2371,2398,2435,2463,2492,2515,2537,5295.738407,5651.31574,5909.398282,6013.786324,6241.157153,6157.800737,5948.023208,5360.173252,5296,5651,5909,6014,6241,6158,5948,5360
Cleveland,78,396815,392667,391550,391792,390871,389244,387662,385252,5087,5034,5020,5023,5011,4990,4970,4939,5624.604322,5599.806238,5543.18495,5355.45662,5588.747932,5768.77194,6281.173277,6744.939364,5625,5600,5543,5355,5589,5769,6281,6745
Aurora,153,325078,332730,339261,345613,352660,360098,363277,367574,2125,2175,2217,2259,2305,2354,2374,2402,5322.002166,4923.463589,4716.263325,4622.430166,4615.986559,4688.595916,5082.493802,5409.895719,5322,4923,4716,4622,4616,4689,5082,5410
Anaheim,50,336265,339831,342071,343832,344604,348251,350013,350476,6725,6797,6841,6877,6892,6965,7000,7010,5853.292501,5561.052885,5328.571118,5101.650533,5222.152891,5284.368398,5580.875153,5763.847333,5853,5561,5329,5102,5222,5284,5581,5764
Santa Ana,27,324528,328227,330550,333716,333431,333417,333765,332627,12020,12157,12243,12360,12349,12349,12362,12320,5729.279366,5606.96528,5425.854833,5187.744843,5301.298904,5382.252357,5663.50345,5814.392854,5729,5607,5426,5188,5301,5382,5664,5814
Riverside,81,303871,309472,312323,315510,317702,320483,323684,326882,3751,3821,3856,3895,3922,3957,3996,4036,3672.043936,3528.217328,3425.531287,3366.604428,3658.906777,3964.415673,4427.024187,4838.900787,3672,3528,3426,3367,3659,3964,4427,4839
Corpus Christi,175,305215,308103,312390,317043,320765,324672,325786,325568,1744,1761,1785,1812,1833,1855,1862,1860,5535.432692,5336.721048,5440.181744,5607.190438,5944.173806,6227.576927,6719.554981,7200.087702,5535,5337,5440,5607,5944,6228,6720,7200
Lexington-Fayette,284,295803,301696,305947,309865,311784,315819,319644,321964,1042,1062,1077,1091,1098,1112,1126,1134,4663.601052,4343.110088,4218.904023,4319.114395,4455.710518,4670.034266,4962.367587,5384.84638,4664,4343,4219,4319,4456,4670,4962,5385
Henderson,105,257729,258752,263278,268274,274255,282167,289480,299314,2455,2464,2507,2555,2612,2687,2757,2851,5590.798455,5458.260168,5345.424323,5571.961129,5370.586695,5534.437234,5971.942749,6446.437116,5591,5458,5345,5572,5371,5534,5972,6446
Stockton,62,291707,295363,297045,297493,301062,304550,307158,310143,4705,4764,4791,4798,4856,4912,4954,5002,4200.738968,4232.860958,4245.283462,4243.904361,4427.207309,4539.815459,4771.826285,4866.041387,4201,4233,4245,4244,4427,4540,4772,4866
St. Paul,62,285068,288872,291280,295054,297655,299915,302948,304913,4598,4659,4698,4759,4801,4837,4886,4918,5423.329556,5157.45901,4921.809015,4681.595355,4641.647018,4765.804951,5258.565008,5895.722573,5423,5157,4922,4682,4642,4766,5259,5896
Cincinnati,77,296943,296187,296900,297905,298626,299439,299748,301587,3856,3847,3856,3869,3878,3889,3893,3917,6826.824017,6842.975188,6886.240377,6805.395881,7089.434061,7179.06799,7498.011093,7635.314387,6827,6843,6886,6805,7089,7179,7498,7635
St. Louis,62,319294,319344,319416,318476,317399,316010,312633,308233,5150,5151,5152,5137,5119,5097,5042,4972,5782.459915,5444.729536,5204.235824,5199.688155,5240.780217,5429.145141,5779.061932,6116.525567,5782,5445,5204,5200,5241,5429,5779,6117
Pittsburgh,55,305704,306012,306355,306902,305964,304070,304643,301494,5558,5564,5570,5580,5563,5529,5539,5482,4713.60048,4324.357594,4052.881122,3850.370385,3951.464839,4198.836225,4706.141339,5513.500199,4714,4324,4053,3850,3951,4199,4706,5514
Greensboro,128,269666,272430,276041,279244,282261,284610,289182,291537,2107,2128,2157,2182,2205,2224,2259,2278,7504.557679,7218.555633,6787.420209,6632.339968,6657.08422,6927.081631,7512.540082,8321.655183,7505,7219,6787,6632,6657,6927,7513,8322
Lincoln,92,258379,262690,265861,269129,274128,277345,281339,284527,2808,2855,2890,2925,2980,3015,3058,3093,4269.312533,4206.311318,4124.967716,4084.335356,4048.712707,4090.564957,4338.131386,4505.428448,4269,4206,4125,4084,4049,4091,4338,4505
Plano,72,259841,267035,272329,274708,278226,283887,287269,287715,3609,3709,3782,3815,3864,3943,3990,3996,4769.52165,4817.658165,5102.650331,5511.985425,6118.27951,6694.809769,7540.925947,8356.851589,4770,4818,5103,5512,6118,6695,7541,8357
Orlando,105,238300,243620,249935,255135,262469,270786,278512,281804,2270,2320,2380,2430,2500,2579,2652,2684,10420.53303,10167.14425,9983.890179,9859.571537,10074.21961,10332.00216,11032.75083,12232.20003,10421,10167,9984,9860,10074,10332,11033,12232
Irvine,66,212375,220303,229063,236057,247136,255382,265345,276000,3218,3338,3471,3577,3744,3869,4020,4182,12585.13027,11877.16035,11081.05819,10357.58432,10110.3905,9955.388563,10125.73218,10009.95454,12585,11877,11081,10358,10110,9955,10126,10010
