"City, State",2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Waco , Texas","124,805","126,443","127,494","129,011","129,860","131,801","133,421","136,939","137,886","139,236"
"Orange , California","136,416","138,539","139,372","139,972","139,424","140,503","140,581","140,251","139,449","138,669"
"Fullerton , California","135,161","136,386","138,103","138,637","138,840","139,982","140,454","139,744","139,273","138,632"
"Charleston , South Carolina","120,083","123,012","125,223","127,246","129,434","132,413","134,453","135,626","136,111","137,566"
"West Valley  , Utah","129,480","131,031","132,463","133,744","134,431","135,903","136,741","136,334","135,982","135,248"
"Visalia , California","124,442","125,649","126,420","127,309","128,482","129,369","130,662","132,388","133,428","134,605"
"Hampton , Virginia","137,436","136,628","137,177","137,332","137,680","136,264","135,374","134,725","134,330","134,510"
"Gainesville , Florida","124,354","125,671","125,993","126,340","127,571","129,356","131,580","132,041","133,665","133,997"
"Warren , Michigan","134,056","134,173","134,590","135,312","135,666","135,386","135,245","135,100","134,376","133,943"
"Coral Springs , Florida","121,096","125,141","126,682","127,788","128,847","130,160","131,753","133,542","133,712","133,759"
"Cedar Rapids , Iowa","126,326","128,231","128,478","128,826","129,662","130,832","131,397","132,564","133,209","133,562"
"Round Rock , Texas","99,887","103,864","106,504","109,547","112,665","115,981","120,864","123,684","128,849","133,372"
"Sterling Heights , Michigan","129,699","130,042","130,672","131,521","132,136","132,041","132,522","132,681","132,725","132,438"
"Kent , Washington","92,411","122,165","124,739","126,118","127,727","129,241","130,508","131,697","131,734","132,319"
"Columbia , South Carolina","129,272","131,302","131,761","131,527","131,781","133,616","134,129","134,005","132,770","131,674"
"Santa Clara , California","116,468","117,836","119,337","120,486","121,967","126,024","126,429","126,709","129,085","130,365"
"New Haven , Connecticut","129,779","130,845","131,114","130,906","130,611","130,383","130,417","130,653","129,993","130,250"
"Stamford , Connecticut","122,643","123,988","125,046","126,306","127,951","128,352","128,974","129,880","129,806","129,638"
"Concord , California","122,067","123,518","124,678","125,888","127,128","128,303","129,036","129,592","129,743","129,295"
"Elizabeth , New Jersey","124,969","125,792","126,595","127,278","127,658","127,661","127,968","128,175","128,599","129,216"
"Athens-Clarke County unified government (balance), Georgia","115,452","116,928","118,584","119,566","119,059","122,213","123,523","125,409","125,857","126,913"
"Thousand Oaks , California","126,683","127,325","127,657","128,224","128,636","128,632","128,480","128,229","127,279","126,813"
"Lafayette , Louisiana","120,623","122,674","123,587","124,873","126,036","126,922","127,221","126,526","126,371","126,185"
"Simi Valley , California","124,237","125,019","125,274","125,868","126,239","126,123","125,958","126,107","125,438","125,613"
"Topeka , Kansas","127,473","128,228","128,095","127,725","127,489","127,396","126,948","126,517","125,778","125,310"
"Norman , Oklahoma","110,925","113,882","115,600","118,695","118,228","120,239","121,974","123,390","123,844","124,880"
"Fargo , North Dakota","105,549","108,142","110,881","113,739","115,715","118,093","120,149","122,420","124,091","124,662"
"Wilmington , North Carolina","106,476","108,141","109,658","111,686","113,320","115,050","118,770","120,836","122,616","123,744"
"Abilene , Texas","117,063","118,762","119,853","119,797","120,648","121,707","121,883","122,186","122,775","123,420"
"Odessa , Texas","99,940","102,009","105,908","110,158","114,430","118,421","117,159","116,418","120,037","123,334"
"Columbia , Missouri","108,500","111,514","113,553","115,440","117,028","118,570","120,248","121,539","122,533","123,195"
"Pearland , Texas","91,252","96,271","99,283","102,832","106,027","111,267","115,926","119,312","121,424","122,460"
"Victorville , California","115,903","117,891","119,831","120,697","121,087","121,442","121,725","121,988","121,952","122,385"
"Hartford , Connecticut","124,775","125,434","125,266","125,128","124,665","124,311","123,654","122,888","122,556","122,105"
"Vallejo , California","115,942","116,709","117,599","118,550","119,602","120,477","120,949","121,546","121,677","121,692"
"Allentown , Pennsylvania","118,032","118,782","118,878","118,826","119,167","120,071","120,420","121,047","121,537","121,442"
"Berkeley , California","112,580","113,968","115,309","116,944","118,697","120,749","121,547","122,164","121,663","121,363"
"Richardson , Texas","99,223","101,660","103,695","105,166","109,134","110,883","113,910","116,237","119,878","121,323"
"Arvada , Colorado","106,433","108,084","110,229","111,872","113,692","115,406","117,710","118,950","120,421","121,272"
"Ann Arbor , Michigan","113,934","115,539","116,079","116,820","118,716","119,884","120,919","121,493","121,429","119,980"
"Rochester , Minnesota","106,769","108,097","108,916","110,427","111,198","112,160","114,051","115,586","117,047","118,935"
"Cambridge , Massachusetts","105,162","105,884","107,886","112,036","112,993","113,471","115,685","116,869","118,151","118,927"
"Sugar Land , Texas","78,817","109,854","111,277","113,490","116,807","118,405","118,784","118,967","118,777","118,488"
"Lansing , Michigan","114,297","114,559","114,661","114,734","115,093","115,324","116,569","117,730","117,931","118,210"
"Evansville , Indiana","117,429","120,216","120,266","120,295","120,153","119,487","119,004","118,331","118,060","117,979"
"College Station , Texas","93,857","95,671","97,761","100,601","103,469","108,952","111,068","114,483","116,035","117,911"
"Fairfield , California","105,321","106,245","107,497","109,137","110,727","112,365","114,456","115,817","116,678","117,133"
"Clearwater , Florida","107,685","109,204","109,538","110,279","111,167","112,939","114,175","115,482","116,324","116,946"
"Beaumont , Texas","118,296","117,908","117,033","118,068","117,812","118,603","118,734","118,953","117,667","116,825"
"Independence , Missouri","116,830","116,917","117,318","117,281","117,505","117,260","117,268","117,197","117,017","116,672"
"Provo , Utah","112,488","115,191","115,559","116,119","115,378","114,596","116,627","117,583","116,630","116,618"
"West Jordan , Utah","103,712","106,349","108,086","109,735","110,416","111,293","113,325","113,945","115,610","116,480"
"Murrieta , California","103,466","105,370","106,509","107,361","108,037","109,372","111,492","112,995","114,715","116,223"
"Palm Bay , Florida","103,190","104,131","104,819","105,329","106,237","108,160","110,289","112,217","113,854","115,552"
"El Monte , California","113,475","114,101","114,843","115,414","115,627","115,824","115,550","115,514","115,308","115,487"
"Carlsbad , California","105,328","107,460","108,948","110,665","111,609","112,662","113,265","114,477","115,518","115,382"
"North Charleston , South Carolina","97,471","99,898","101,994","104,050","106,754","108,597","109,738","110,820","113,077","115,382"
"Temecula , California","100,097","102,640","104,295","106,073","108,671","111,140","112,402","113,987","114,614","114,761"
"Clovis , California","95,631","97,557","98,588","99,631","101,904","103,828","106,353","109,316","111,824","114,584"
"Springfield , Illinois","116,250","117,786","117,928","117,633","117,489","117,221","116,536","115,771","114,840","114,230"
"Meridian , Idaho","75,092","79,723","82,125","85,086","89,174","92,144","96,227","100,539","106,464","114,161"
"Westminster , Colorado","106,114","107,739","109,083","110,422","111,517","112,420","112,984","112,961","113,227","113,166"
"Costa Mesa , California","109,960","111,151","111,790","112,244","112,485","112,808","112,933","113,665","113,302","113,003"
"High Point , North Carolina","104,371","105,823","106,567","107,573","108,797","110,232","111,533","111,746","112,073","112,791"
